TOTAL                                        -      649.720       -            100.000%
Rent                                         -      400.000       -             61.565%
Internet                                     -       55.000       -              8.465%
CompSnacks                                   -       51.300       -              7.896%
Compfood                                     -       42.500       -              6.541%
Com                                          -       28.500       -              4.387%
Drinks                                       -       17.990       -              2.769%
Transport                                    -       15.000       -              2.309%
Hygiene                                      -       10.000       -              1.539%
Carbs                                        -       8.230        -              1.267%
Detergent                                    -       7.000        -              1.077%
Nuts                                         -       6.600        -              1.016%
Snacks                                       -       5.200        -              0.800%
Majles                                       -       2.000        -              0.308%
Timbre                                       -       0.400        -              0.062%
