TOTAL                                        -      754.285       -            100.000%
Rent                                         -      400.000       -             53.030%
Compfood                                     -       97.500       -             12.926%
Network                                      -       55.000       -              7.292%
Compsnacks                                   -       49.700       -              6.589%
Protein                                      -       42.740       -              5.666%
Drinks                                       -       22.800       -              3.023%
Snacks                                       -       14.160       -              1.877%
Coffee                                       -       12.000       -              1.591%
Com                                          -       11.700       -              1.551%
Carbs                                        -       11.530       -              1.529%
Hygiene                                      -       10.000       -              1.326%
Transport                                    -       10.000       -              1.326%
Caffeine                                     -       9.255        -              1.227%
Nuts                                         -       4.500        -              0.597%
Detergent                                    -       3.000        -              0.398%
Timbre                                       -       0.400        -              0.053%
