TOTAL                                        -      713.030       -            100.000%
Rent                                         -      400.000       -             56.099%
Compsnacks                                   -       67.400       -              9.453%
Protein                                      -       63.280       -              8.875%
Internet                                     -       55.000       -              7.714%
Drinks                                       -       26.010       -              3.648%
Transport                                    -       20.000       -              2.805%
Hygiene                                      -       15.370       -              2.156%
Carbs                                        -       15.120       -              2.121%
Snacks                                       -       14.170       -              1.987%
Formation                                    -       10.000       -              1.402%
Caffeine                                     -       9.330        -              1.309%
Majles                                       -       8.000        -              1.122%
Castello                                     -       5.900        -              0.827%
Detergent                                    -       2.850        -              0.400%
Timbre                                       -       0.600        -              0.084%
