TOTAL                                        -      603.290       -            100.000%
Rent                                         -      400.000       -             66.303%
Protein                                      -       36.590       -              6.065%
Carbs                                        -       28.080       -              4.654%
Snacks                                       -       25.280       -              4.190%
Toscana                                      -       21.300       -              3.531%
drinks                                       -       19.750       -              3.274%
CompSnacks                                   -       19.000       -              3.149%
Hygiene                                      -       13.990       -              2.319%
Majles                                       -       12.700       -              2.105%
Phone                                        -       11.400       -              1.890%
Detergent                                    -       9.800        -              1.624%
Caffeine                                     -       4.500        -              0.746%
timbre                                       -       0.900        -              0.149%
