TOTAL                                        -      194.950       -            100.000%
Compfood                                     -       33.800       -             17.338%
Coffee                                       -       31.850       -             16.338%
Entertainment                                -       31.000       -             15.902%
Compsnacks                                   -       29.500       -             15.132%
Snacks                                       -       17.700       -              9.079%
Carbs                                        -       16.900       -              8.669%
Drinks                                       -       13.400       -              6.874%
Com                                          -       11.600       -              5.950%
Protein                                      -       9.000        -              4.617%
Timbre                                       -       0.200        -              0.103%
